loan_id,document_status
LN00000,COMPLETE
LN00001,COMPLETE
LN00002,COMPLETE
LN00003,COMPLETE
LN00004,COMPLETE
LN00005,COMPLETE
LN00006,COMPLETE
LN00007,COMPLETE
LN00008,COMPLETE
LN00009,COMPLETE
LN00010,COMPLETE
LN00011,COMPLETE
LN00012,COMPLETE
LN00013,COMPLETE
LN00014,COMPLETE
LN00015,COMPLETE
LN00016,COMPLETE
LN00017,COMPLETE
LN00018,COMPLETE
LN00019,COMPLETE
LN00020,COMPLETE
LN00021,COMPLETE
LN00022,COMPLETE
LN00023,COMPLETE
LN00024,COMPLETE
LN00025,COMPLETE
LN00026,COMPLETE
LN00027,COMPLETE
LN00028,COMPLETE
LN00029,COMPLETE
LN00030,COMPLETE
LN00031,COMPLETE
LN00032,COMPLETE
LN00033,COMPLETE
LN00034,COMPLETE
LN00035,COMPLETE
LN00036,COMPLETE
LN00037,COMPLETE
LN00038,COMPLETE
LN00039,COMPLETE
LN00040,COMPLETE
LN00041,COMPLETE
LN00042,COMPLETE
LN00043,COMPLETE
LN00044,COMPLETE
LN00045,COMPLETE
LN00046,COMPLETE
LN00047,COMPLETE
LN00048,COMPLETE
LN00049,COMPLETE
LN00050,COMPLETE
LN00051,COMPLETE
LN00052,COMPLETE
LN00053,COMPLETE
LN00054,COMPLETE
LN00055,COMPLETE
LN00056,COMPLETE
LN00057,COMPLETE
LN00058,COMPLETE
LN00059,COMPLETE
LN00060,COMPLETE
LN00061,COMPLETE
LN00062,COMPLETE
LN00063,COMPLETE
LN00064,COMPLETE
LN00065,COMPLETE
LN00066,COMPLETE
LN00067,COMPLETE
LN00068,COMPLETE
LN00069,COMPLETE
LN00070,COMPLETE
LN00071,COMPLETE
LN00072,COMPLETE
LN00073,COMPLETE
LN00074,COMPLETE
LN00075,COMPLETE
LN00077,COMPLETE
LN00078,COMPLETE
LN00079,COMPLETE
LN00080,COMPLETE
LN00081,COMPLETE
LN00082,COMPLETE
LN00083,COMPLETE
LN00084,COMPLETE
LN00085,COMPLETE
LN00086,COMPLETE
LN00087,COMPLETE
LN00088,COMPLETE
LN00089,COMPLETE
LN00090,COMPLETE
LN00091,COMPLETE
LN00092,COMPLETE
LN00093,COMPLETE
LN00094,COMPLETE
LN00095,COMPLETE
LN00096,COMPLETE
LN00097,COMPLETE
LN00098,COMPLETE
LN00099,COMPLETE
LN00100,COMPLETE
LN00101,COMPLETE
LN00102,COMPLETE
LN00103,COMPLETE
LN00104,COMPLETE
LN00105,COMPLETE
LN00106,COMPLETE
LN00107,COMPLETE
LN00108,COMPLETE
LN00109,COMPLETE
LN00110,COMPLETE
LN00111,COMPLETE
LN00112,COMPLETE
LN00113,COMPLETE
LN00114,COMPLETE
LN00115,COMPLETE
LN00116,COMPLETE
LN00117,COMPLETE
LN00118,COMPLETE
LN00119,COMPLETE
LN00120,COMPLETE
LN00121,COMPLETE
LN00122,COMPLETE
LN00123,COMPLETE
LN00124,COMPLETE
LN00125,COMPLETE
LN00126,COMPLETE
LN00127,COMPLETE
LN00128,COMPLETE
LN00129,COMPLETE
LN00130,COMPLETE
LN00131,COMPLETE
LN00133,COMPLETE
LN00134,COMPLETE
LN00135,COMPLETE
LN00136,COMPLETE
LN00137,COMPLETE
LN00138,COMPLETE
LN00139,COMPLETE
LN00140,COMPLETE
LN00141,COMPLETE
LN00142,COMPLETE
LN00143,COMPLETE
LN00144,COMPLETE
LN00145,COMPLETE
LN00146,COMPLETE
LN00147,COMPLETE
LN00148,COMPLETE
LN00149,COMPLETE
LN00150,COMPLETE
LN00151,COMPLETE
LN00152,COMPLETE
LN00153,COMPLETE
LN00154,COMPLETE
LN00155,COMPLETE
LN00156,COMPLETE
LN00157,COMPLETE
LN00158,COMPLETE
LN00159,COMPLETE
LN00160,COMPLETE
LN00161,COMPLETE
LN00162,COMPLETE
LN00163,COMPLETE
LN00164,COMPLETE
LN00165,COMPLETE
LN00166,COMPLETE
LN00167,COMPLETE
LN00168,COMPLETE
LN00169,COMPLETE
LN00170,COMPLETE
LN00171,COMPLETE
LN00172,COMPLETE
LN00173,COMPLETE
LN00174,COMPLETE
LN00175,COMPLETE
LN00176,COMPLETE
LN00177,COMPLETE
LN00178,COMPLETE
LN00179,COMPLETE
LN00180,COMPLETE
LN00181,COMPLETE
LN00182,COMPLETE
LN00183,COMPLETE
LN00184,COMPLETE
LN00185,COMPLETE
LN00186,COMPLETE
LN00187,COMPLETE
LN00188,COMPLETE
LN00189,COMPLETE
LN00190,COMPLETE
LN00191,COMPLETE
LN00192,COMPLETE
LN00193,COMPLETE
LN00194,COMPLETE
LN00195,COMPLETE
LN00196,COMPLETE
LN00197,COMPLETE
LN00198,COMPLETE
LN00199,COMPLETE
LN02910,COMPLETE
