loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN00000,BR00000,FIXED,2017-12-18,2047-07-14,247495.30,0.00,4.19,360,PA,REFI,A,34,100K-150K,CLOSED,0,Cardinal Mortgage Co,2024-05-19,2024-03-29,COMPLETE,ORIG_SYS
LN00001,BR00001,ARM,2018-06-04,2033-03-17,252673.67,227406.30,10.47,180,PA,REFI,C,15,50K-100K,CURRENT,0,Acme Servicing,2024-06-25,2024-04-26,COMPLETE,ORIG_SYS
LN00002,BR00002,ARM,2016-11-22,2036-08-09,422434.03,333722.88,14.88,240,FL,REFI,D,31,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-05-17,2024-06-07,COMPLETE,ORIG_SYS
LN00003,BR00003,ARM,2018-09-28,2028-08-06,69711.69,51586.65,7.94,120,WA,PURCHASE,B,31,50K-100K,DELINQUENT,168,Acme Servicing,2024-06-03,2024-03-28,COMPLETE,ORIG_SYS
LN00004,BR00004,FIXED,2018-04-04,2033-01-15,108464.68,0.00,5.34,180,NC,REFI,A,5,>150K,CLOSED,0,BlueRiver Loan Servicing,2024-05-20,2024-06-19,COMPLETE,ORIG_SYS
LN00005,BR00005,FIXED,2020-07-04,2050-01-28,424516.91,208013.29,6.28,360,PA,CASHOUT,B,6,>150K,DELINQUENT,88,Acme Servicing,2024-05-14,2024-03-29,COMPLETE,ORIG_SYS
LN00006,BR00006,ARM,2016-11-23,2046-06-19,367324.42,220394.65,11.56,360,NY,PURCHASE,D,15,100K-150K,DELINQUENT,105,BlueRiver Loan Servicing,2024-06-03,2024-03-21,COMPLETE,ORIG_SYS
LN00007,BR00007,ARM,2019-05-06,2039-01-21,394249.49,260204.66,8.09,240,FL,REFI,C,15,>150K,DELINQUENT,113,Acme Servicing,2024-06-14,2024-05-13,COMPLETE,ORIG_SYS
LN00008,BR00008,ARM,2020-08-16,2030-06-25,155272.77,0.00,46.00,120,NY,REFI,D,23,<50K,CLOSED,0,BlueRiver Loan Servicing,2024-06-01,2024-03-29,COMPLETE,ORIG_SYS
LN00009,BR00009,FIXED,2017-11-10,2047-06-06,232874.09,95478.38,11.36,360,OH,CASHOUT,D,24,50K-100K,DELINQUENT,80,Cardinal Mortgage Co,2024-06-21,2024-03-15,COMPLETE,ORIG_SYS
LN00010,BR00010,FIXED,2019-10-07,2034-07-20,118540.45,65197.25,9.89,180,FL,REFI,C,12,>150K,DELINQUENT,96,Acme Servicing,2024-06-10,2024-06-16,COMPLETE,ORIG_SYS
LN00011,BR00011,FIXED,2018-05-22,2038-02-06,458861.31,0.00,7.94,240,NY,PURCHASE,B,27,50K-100K,CLOSED,0,Cardinal Mortgage Co,2024-05-15,2024-05-08,COMPLETE,ORIG_SYS
LN00012,BR00012,ARM,2018-01-22,2047-08-18,93375.93,56025.56,8.92,360,NY,CASHOUT,C,20,100K-150K,CURRENT,0,Acme Servicing,2024-06-03,2024-03-21,COMPLETE,ORIG_SYS
LN00013,BR00013,FIXED,2019-07-17,2034-04-29,373758.33,0.00,5.17,180,PA,PURCHASE,A,22,100K-150K,CURRENT,90,Acme Servicing,2024-05-17,2024-05-12,COMPLETE,ORIG_SYS
LN00014,BR00014,ARM,2016-04-15,2031-01-27,272295.87,106195.39,13.35,180,TX,CASHOUT,D,5,50K-100K,CURRENT,0,Cardinal Mortgage Co,2024-05-03,2024-04-22,COMPLETE,ORIG_SYS
LN00015,BR00015,FIXED,2017-01-06,2026-11-15,315911.97,290639.01,7.57,120,CA,PURCHASE,B,9,50K-100K,DELINQUENT,92,Cardinal Mortgage Co,2024-06-02,2024-05-09,COMPLETE,ORIG_SYS
LN00016,BR00016,ARM,2018-03-29,2047-10-23,307277.62,159784.36,12.76,360,IL,PURCHASE,D,0,50K-100K,DELINQUENT,70,Cardinal Mortgage Co,2024-06-30,2024-03-16,COMPLETE,ORIG_SYS
LN00017,BR00017,FIXED,2017-02-28,2016-02-29,299316.26,221494.03,46.00,120,NY,CASHOUT,C,25,>150K,CURRENT,0,Cardinal Mortgage Co,2024-06-12,2024-06-18,COMPLETE,ORIG_SYS
LN00018,BR00018,FIXED,2016-08-14,2026-06-23,153596.30,0.00,9.11,120,IL,PURCHASE,C,29,50K-100K,CLOSED,0,Cardinal Mortgage Co,2024-05-05,2024-05-24,COMPLETE,ORIG_SYS
LN00019,BR00019,ARM,2019-04-04,2038-12-20,180913.03,0.00,5.87,240,NY,PURCHASE,A,5,100K-150K,CLOSED,0,Acme Servicing,2024-06-13,2024-05-10,COMPLETE,ORIG_SYS
LN00020,BR00020,ARM,2015-08-16,2035-05-03,451254.77,0.00,14.57,240,GA,PURCHASE,D,18,50K-100K,CLOSED,0,Acme Servicing,2024-06-29,2024-03-31,COMPLETE,ORIG_SYS
LN00021,BR00021,FIXED,2021-01-24,2030-12-03,218145.98,172335.32,7.87,120,NC,PURCHASE,B,1,<50K,DELINQUENT,86,Acme Servicing,2024-05-12,2024-03-16,COMPLETE,ORIG_SYS
LN00022,BR00022,FIXED,2019-02-07,2038-10-25,130670.74,56188.42,5.55,240,FL,PURCHASE,A,34,50K-100K,DELINQUENT,161,BlueRiver Loan Servicing,2024-06-05,2024-06-13,COMPLETE,ORIG_SYS
LN00023,BR00023,ARM,2016-11-29,2026-10-08,153345.21,113475.46,13.03,120,TX,CASHOUT,D,24,>150K,CURRENT,0,BlueRiver Loan Servicing,2024-06-06,2024-06-07,COMPLETE,ORIG_SYS
LN00024,BR00024,ARM,2015-07-30,2035-04-16,371933.21,0.00,11.50,240,TX,REFI,D,32,<50K,CLOSED,0,BlueRiver Loan Servicing,2024-05-04,2024-05-26,COMPLETE,ORIG_SYS
LN00025,BR00025,ARM,2017-02-23,2046-09-19,348288.90,170661.56,4.05,360,IL,REFI,A,5,100K-150K,DELINQUENT,174,Cardinal Mortgage Co,2024-06-24,2024-04-05,COMPLETE,ORIG_SYS
LN00026,BR00026,ARM,2021-08-12,2031-06-21,238601.44,217127.31,5.61,120,WA,REFI,A,22,>150K,CURRENT,0,Cardinal Mortgage Co,2024-06-29,2024-04-13,COMPLETE,ORIG_SYS
LN00027,BR00027,FIXED,2020-06-15,2035-03-29,423242.88,275107.87,5.21,180,NC,CASHOUT,A,26,100K-150K,CURRENT,0,Acme Servicing,2024-06-06,2024-06-16,COMPLETE,ORIG_SYS
LN00028,BR00028,ARM,2019-06-18,2049-01-11,-242646.94,144988.16,46.00,360,NY,PURCHASE,B,34,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-05-13,2024-03-08,COMPLETE,ORIG_SYS
LN00029,BR00029,FIXED,2019-01-26,2033-11-08,79951.49,67159.25,4.29,180,FL,CASHOUT,A,32,100K-150K,DELINQUENT,51,Acme Servicing,2024-06-21,2024-05-28,COMPLETE,ORIG_SYS
LN00030,BR00030,FIXED,2018-09-12,2028-07-21,101970.53,34669.98,8.16,120,TX,REFI,C,20,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-05-14,2024-05-15,COMPLETE,ORIG_SYS
LN00031,BR00031,ARM,2020-01-15,2049-08-10,277036.81,235481.29,11.73,360,CA,CASHOUT,D,8,<50K,CURRENT,0,Acme Servicing,2024-05-24,2024-04-24,COMPLETE,ORIG_SYS
LN00032,BR00032,FIXED,2015-01-18,2029-10-31,72164.35,46185.18,14.33,180,TX,PURCHASE,D,14,>150K,DELINQUENT,164,Cardinal Mortgage Co,2024-06-25,2024-03-23,COMPLETE,ORIG_SYS
