loan_id,current_balance,interest_rate,payment_status
LN00001,227406.30,10.47,CURRENT
LN00003,51586.65,7.94,DELINQUENT
LN00004,0.00,5.34,CLOSED
LN00014,106195.39,13.35,CURRENT
LN00015,290639.01,7.57,DELINQUENT
LN00016,159784.36,12.76,DELINQUENT
LN00019,0.00,5.87,CLOSED
LN00020,0.00,14.57,CLOSED
LN00021,172335.32,7.87,DELINQUENT
LN00023,113475.46,13.03,CURRENT
LN00034,0.00,9.92,CLOSED
LN00043,0.00,10.55,CLOSED
LN00044,0.00,4.59,CLOSED
LN00046,0.00,10.69,CLOSED
LN00048,0.00,14.20,CLOSED
LN00055,101516.25,7.30,DELINQUENT
LN00056,153807.06,10.66,DELINQUENT
LN00057,0.00,6.23,CLOSED
LN00060,0.00,4.42,CLOSED
LN00062,237838.13,6.36,CURRENT
LN00063,167765.11,4.49,CURRENT
LN00064,0.00,7.08,CLOSED
LN00066,87516.78,11.71,DELINQUENT
LN00070,65559.67,7.97,CURRENT
LN00074,133404.32,9.77,DELINQUENT
LN00075,67887.22,14.99,CURRENT
LN00077,100032.30,4.84,DELINQUENT
LN00079,63446.97,4.57,CURRENT
LN00085,321719.63,6.92,DELINQUENT
LN00092,0.00,4.10,CLOSED
LN00093,0.00,14.50,CLOSED
LN00094,237802.66,10.95,DELINQUENT
LN00096,192078.61,10.20,CURRENT
LN00097,0.00,4.21,CLOSED
LN00099,184642.10,10.81,CURRENT
LN00100,80659.19,7.91,DELINQUENT
LN00101,112096.65,12.04,DELINQUENT
LN00102,125569.86,5.53,DELINQUENT
LN00103,239424.80,11.39,DELINQUENT
LN00104,139370.22,10.21,CURRENT
LN00105,0.00,4.24,CLOSED
LN00113,278900.16,7.20,DELINQUENT
LN00114,117196.97,10.68,CURRENT
LN00115,100502.71,12.61,DELINQUENT
LN00118,0.00,5.35,CLOSED
LN00119,339958.73,10.93,DELINQUENT
LN00122,258633.15,13.58,CURRENT
LN00128,285540.38,5.64,CURRENT
LN00134,210936.26,4.38,DELINQUENT
LN00135,0.00,10.13,CLOSED
LN00137,91152.84,7.79,DELINQUENT
LN00140,0.00,7.78,CLOSED
LN00141,259756.87,5.05,DELINQUENT
LN00143,86976.78,11.77,DELINQUENT
LN00144,210511.10,6.78,DELINQUENT
LN00146,0.00,6.51,CLOSED
LN00151,0.00,9.11,CLOSED
LN00155,107329.76,14.97,DELINQUENT
LN00156,415274.06,8.35,CURRENT
LN00157,258767.71,8.19,DELINQUENT
LN00158,367815.63,7.66,CURRENT
LN00159,436909.27,5.94,CURRENT
LN00161,0.00,4.44,CLOSED
LN00162,31004.26,5.82,DELINQUENT
LN00165,62685.11,4.38,DELINQUENT
LN00166,150365.23,9.27,CURRENT
LN00173,133405.39,12.87,DELINQUENT
LN00177,0.00,5.78,CLOSED
LN00180,387357.31,9.29,DELINQUENT
LN00181,0.00,8.01,CLOSED
LN00182,102064.17,5.49,CURRENT
LN00184,227050.12,4.40,CURRENT
LN00192,113072.98,4.77,CURRENT
LN00193,0.00,5.66,CLOSED
LN00195,146014.60,9.59,DELINQUENT
LN00197,238302.00,6.28,CURRENT
LN00199,0.00,10.65,CLOSED
LN02910,0.00,9.76,CLOSED
LN00139,133602.89,5.72,CURRENT
LN00189,77777.00,5.01,CLOSED
LN00081,277189.68,4.07,CURRENT
